建筑ID	名字	等级	建造时间(秒)	建造/升级黄金	建造/升级人口	经验	发展度	数量上限	auto_id_begin	auto_id_end	自动建造
1	Castle	1	1	1	1	1	1	1	1	1	1
1	Castle	2	3	50	20	100	20	1	1	1	0
1	Castle	3	120	100	30	200	30	1	1	1	0
1	Castle	4	480	150	40	300	40	1	1	1	0
1	Castle	5	960	200	50	400	50	1	1	1	0
1	Castle	6	1920	300	70	500	60	1	1	1	0
1	Castle	7	3840	400	90	600	70	1	1	1	0
1	Castle	8	7680	600	110	700	80	1	1	1	0
1	Castle	9	10800	800	130	800	90	1	1	1	0
1	Castle	10	14400	1000	150	900	100	1	1	1	0
1	Castle	11	18000	1300	180	1000	110	1	1	1	0
1	Castle	12	21600	1600	210	1100	120	1	1	1	0
1	Castle	13	25200	2000	240	1200	130	1	1	1	0
1	Castle	14	28800	2400	270	1300	140	1	1	1	0
1	Castle	15	32400	3000	300	1400	150	1	1	1	0
1	Castle	16	37200	3700	350	1500	160	1	1	1	0
1	Castle	17	42000	4400	400	1600	170	1	1	1	0
1	Castle	18	46800	5200	450	1700	180	1	1	1	0
1	Castle	19	51600	6000	500	1800	190	1	1	1	0
1	Castle	20	56400	7000	550	1900	200	1	1	1	0
1	Castle	21	63600	8500	630	2000	210	1	1	1	0
1	Castle	22	70800	10000	710	2100	220	1	1	1	0
1	Castle	23	78000	12000	790	2200	230	1	1	1	0
1	Castle	24	85200	14500	870	2300	240	1	1	1	0
1	Castle	25	92400	17000	950	2400	250	1	1	1	0
1	Castle	26	103200	20000	1050	2500	260	1	1	1	0
1	Castle	27	114000	23000	1150	2600	270	1	1	1	0
1	Castle	28	124800	27000	1250	2700	280	1	1	1	0
1	Castle	29	135600	32000	1350	2800	290	1	1	1	0
1	Castle	30	146400	38000	1450	2900	300	1	1	1	0
1	Castle	31	157200	45000	1550	3000	310	1	1	1	0
1	Castle	32	168000	53000	1650	3100	320	1	1	1	0
1	Castle	33	178800	62000	1750	3200	330	1	1	1	0
1	Castle	34	189600	72000	1850	3300	340	1	1	1	0
1	Castle	35	200400	83000	1950	3400	350	1	1	1	0
1	Castle	36	211200	94000	2050	3500	360	1	1	1	0
1	Castle	37	222000	106000	2150	3600	370	1	1	1	0
1	Castle	38	232800	119000	2250	3700	380	1	1	1	0
1	Castle	39	243600	133000	2350	3800	390	1	1	1	0
1	Castle	40	254400	148000	2450	3900	400	1	1	1	0
1	Castle	41	270000	170000	2600	4000	410	1	1	1	0
1	Castle	42	288000	200000	2800	4100	420	1	1	1	0
1	Castle	43	306000	230000	3200	4200	430	1	1	1	0
1	Castle	44	324000	260000	3800	4300	440	1	1	1	0
1	Castle	45	342000	300000	4600	4400	450	1	1	1	0
1	Castle	46	360000	350000	5600	4500	460	1	1	1	0
1	Castle	47	378000	400000	6800	4600	470	1	1	1	0
1	Castle	48	396000	500000	8000	4700	480	1	1	1	0
1	Castle	49	414000	600000	9500	4800	490	1	1	1	0
1	Castle	50	432000	700000	11000	4900	500	1	1	1	0
2	University	1	1	1	1	1	1	1	2	2	1
2	University	2	10	30	10	50	10	1	2	2	0
2	University	3	30	60	14	100	20	1	2	2	0
2	University	4	60	90	18	150	30	1	2	2	0
2	University	5	240	120	22	200	40	1	2	2	0
2	University	6	480	170	30	250	50	1	2	2	0
2	University	7	1440	220	38	300	60	1	2	2	0
2	University	8	2400	280	46	350	70	1	2	2	0
2	University	9	3600	340	54	400	80	1	2	2	0
2	University	10	4800	400	62	450	90	1	2	2	0
2	University	11	7200	500	77	500	100	1	2	2	0
2	University	12	9600	600	92	550	110	1	2	2	0
2	University	13	12000	700	107	600	120	1	2	2	0
2	University	14	14400	820	122	650	130	1	2	2	0
2	University	15	16800	940	137	700	140	1	2	2	0
