等级	联盟跑商次数	单次收益	单次时间
1	3	100	3600
2	3	150	3600
3	3	200	3600
4	3	250	3600
5	3	300	3600
6	4	350	3600
7	4	400	3600
8	4	450	3600
9	4	500	3600
10	4	550	3600
11	4	600	3600
12	4	650	3600
13	4	700	3600
14	4	750	3600
15	4	800	3600
16	5	900	3600
17	5	1000	3600
18	5	1100	3600
19	5	1200	3600
20	5	1300	3600
21	5	1500	3600
22	5	1700	3600
23	5	1900	3600
24	5	2100	3600
25	5	2300	3600
26	6	2550	3600
27	6	2800	3600
28	6	3050	3600
29	6	3300	3600
30	6	3550	3600
31	7	3800	3600
32	7	4050	3600
33	7	4300	3600
34	7	4550	3600
35	7	4800	3600
36	8	5050	3600
37	8	5300	3600
38	8	5550	3600
39	8	5800	3600
40	8	6500	3600
41	9	7000	3600
42	9	7500	3600
43	9	8000	3600
44	9	8500	3600
45	9	9000	3600
46	9	10000	3600
47	9	12000	3600
48	9	14000	3600
49	9	16000	3600
50	9	18000	3600
