等级	生产时间0(单位:秒)	产量0	生产时间1	产量1	生产时间2	产量2	生产时间3	产量3	是否允许偷窃	偷窃比率	偷窃次数
1	900	18	3600	60	14400	216	28800	360	1	0.05	3
2	900	24	3600	84	14400	288	28800	480	1	0.05	3
3	900	30	3600	102	14400	360	28800	600	1	0.05	3
4	900	36	3600	120	14400	432	28800	720	1	0.05	3
5	900	42	3600	138	14400	504	28800	840	1	0.05	3
6	900	48	3600	156	14400	576	28800	960	1	0.05	3
7	900	54	3600	174	14400	648	28800	1080	1	0.05	3
8	900	60	3600	192	14400	720	28800	1200	1	0.05	3
9	900	66	3600	210	14400	792	28800	1320	1	0.05	3
10	900	72	3600	228	14400	864	28800	1440	1	0.05	3
11	900	78	3600	246	14400	936	28800	1560	1	0.05	3
12	900	84	3600	264	14400	1008	28800	1680	1	0.05	3
13	900	90	3600	282	14400	1080	28800	1800	1	0.05	3
14	900	96	3600	300	14400	1152	28800	1920	1	0.05	3
15	900	102	3600	318	14400	1224	28800	2040	1	0.05	3
16	900	114	3600	354	14400	1320	28800	2220	1	0.05	3
17	900	126	3600	384	14400	1416	28800	2400	1	0.05	3
18	900	138	3600	414	14400	1512	28800	2580	1	0.05	3
19	900	150	3600	444	14400	1608	28800	2760	1	0.05	3
20	900	162	3600	474	14400	1704	28800	2940	1	0.05	3
21	900	174	3600	504	14400	1800	28800	3120	1	0.05	3
22	900	186	3600	654	14400	1896	28800	3300	1	0.05	3
23	900	204	3600	696	14400	2016	28800	3540	1	0.05	3
24	900	222	3600	738	14400	2136	28800	3780	1	0.05	3
25	900	240	3600	780	14400	2256	28800	4020	1	0.05	3
26	900	258	3600	822	14400	2376	28800	4260	1	0.05	3
27	900	276	3600	864	14400	2496	28800	4500	1	0.05	3
28	900	294	3600	906	14400	2616	28800	4740	1	0.05	3
29	900	312	3600	948	14400	2736	28800	4980	1	0.05	3
30	900	330	3600	990	14400	2856	28800	5220	1	0.05	3
31	900	354	3600	1044	14400	3000	28800	5460	1	0.05	3
32	900	378	3600	1098	14400	3144	28800	5700	1	0.05	3
33	900	402	3600	1152	14400	3288	28800	5940	1	0.05	3
34	900	426	3600	1206	14400	3432	28800	6180	1	0.05	3
35	900	450	3600	1260	14400	3576	28800	6420	1	0.05	3
36	900	474	3600	1314	14400	3720	28800	6660	1	0.05	3
37	900	498	3600	1368	14400	3864	28800	6900	1	0.05	3
38	900	522	3600	1422	14400	4008	28800	7140	1	0.05	3
39	900	546	3600	1476	14400	4152	28800	7380	1	0.05	3
40	900	570	3600	1530	14400	4296	28800	7620	1	0.05	3
41	900	594	3600	1584	14400	4440	28800	7860	1	0.05	3
42	900	618	3600	1638	14400	4584	28800	8100	1	0.05	3
43	900	642	3600	1692	14400	4728	28800	8340	1	0.05	3
44	900	666	3600	1746	14400	4872	28800	8580	1	0.05	3
45	900	690	3600	1800	14400	5016	28800	8820	1	0.05	3
46	900	714	3600	1854	14400	5160	28800	9060	1	0.05	3
47	900	738	3600	1908	14400	5304	28800	9300	1	0.05	3
48	900	762	3600	1962	14400	5448	28800	9540	1	0.05	3
49	900	786	3600	2016	14400	5592	28800	9780	1	0.05	3
50	900	810	3600	2070	14400	5736	28800	10020	1	0.05	3
