等级	经验	单位时间训练获取经验	单位时间训练黄金花费
1	1	30	10
2	300	60	25
3	850	90	40
4	1440	120	60
5	2020	150	70
6	2760	200	85
7	3300	250	95
8	3840	300	100
9	4380	320	110
10	4920	340	125
11	5460	360	130
12	6000	380	140
13	7400	400	150
14	8800	420	160
15	10200	440	170
16	11600	460	180
17	13000	480	190
18	14400	500	200
19	15800	530	210
20	17200	560	225
21	18600	590	240
22	20000	620	255
23	23000	650	270
24	26000	690	285
25	29000	720	320
26	32000	750	340
27	35000	780	360
28	38000	810	380
29	41000	850	410
30	44000	900	440
31	47000	930	460
32	50000	960	480
33	54000	1000	500
34	58000	1050	520
35	62000	1100	540
36	66000	1150	560
37	70000	1200	580
38	74000	1250	620
39	78000	1300	660
40	82000	1350	700
41	86000	1400	740
42	90000	1500	780
43	95400	1550	820
44	100800	1600	880
45	106200	1700	940
46	111600	1800	1000
47	117000	1900	1050
48	122400	2000	1100
49	127800	2050	1150
50	133200	2100	1200
51	138600	2200	1250
52	144000	2250	1300
53	154666	2300	1400
54	165332	2350	1500
55	176000	2400	1600
56	186666	2450	1700
57	197332	2500	1800
58	208000	2550	1900
59	218666	2600	2000
60	229332	2700	2100
61	241000	2800	2200
62	253000	2900	2300
63	266000	3000	2400
64	280000	3100	2500
65	295000	3200	2600
66	311000	3300	2700
67	328000	3400	2800
68	346000	3500	2900
69	365000	3600	3000
70	385000	3700	3100
71	406000	3800	3200
72	428000	3900	3300
73	451000	4000	3400
74	475000	4100	3500
75	500000	4200	3600
76	526000	4300	3700
77	553000	4400	3800
78	581000	4500	3900
79	610000	4600	4000
80	640000	4700	4100
81	671000	4800	4200
82	703000	4900	4300
83	736000	5000	4400
84	770000	5100	4500
85	805000	5200	4600
86	841000	5300	4700
87	878000	5400	4800
88	916000	5500	4900
89	955000	5600	5000
90	995000	5700	5100
91	1036000	5800	5200
92	1078000	5900	5300
93	1121000	6000	5400
94	1165000	6100	5500
95	1210000	6200	5600
96	1256000	6300	5700
97	1303000	6400	5800
98	1351000	6500	5900
99	1400000	6600	6000
100	1450000	6700	6100
