等级	生产速度	生产时间（单位:秒）	容量
1	1	2700	50
2	2	2700	130
3	3	2700	210
4	4	2700	290
5	5	2700	370
6	6	2700	390
7	7	2700	410
8	8	2700	430
9	9	2700	450
10	10	2700	470
11	11	2700	530
12	12	2700	590
13	13	2700	650
14	14	2700	710
15	15	2700	770
16	16	2700	830
17	17	2700	890
18	18	2700	950
19	19	2700	1010
20	20	2700	1070
21	21	2700	1150
22	22	2700	1230
23	23	2700	1310
24	24	2700	1390
25	25	2700	1470
26	26	2700	1550
27	27	2700	1630
28	28	2700	1710
29	29	2700	1790
30	30	2700	1870
31	31	2700	1950
32	32	2700	2010
33	33	2700	2070
34	34	2700	2130
35	35	2700	2190
36	36	2700	2320
37	37	2700	2390
38	38	2700	2460
39	39	2700	2530
40	40	2700	2600
41	41	2700	2650
42	42	2700	2700
43	43	2700	2750
44	44	2700	2800
45	45	2700	2850
46	46	2700	2900
47	47	2700	2950
48	48	2700	3000
49	49	2700	3050
50	50	2700	3100
