ID号	任务描述	存储点	任务	结束点
1	欢迎来到口袋帝国。随着文明的传播，大陆上已经出现很多独立的领地，大家都忙着积累力量呢。陛下，快带领我们变得更强大吧。	1	1	2
2	作为您的事务官，让我来介绍下基本的功能和操作吧。	0	1	2
3	领地建设需要大量的人口，所以我们先去居民区看看!请您点击"民居"图标，进入居民区。	1	2	5
4	这里分布着居民的住所，请您点击黄色框区域，建造一所民居。	0	2	5
5	恭喜您建造民居完成!	0	2	5
6	和人口一样，金币也是非常重要的资源!请您点击黄色框区域里的"金矿"图标，进入金矿区。	1	3	8
7	请您点击黄色框区域，建造一座金矿。	0	3	8
8	恭喜您建造金矿完成!	0	3	8
9	金矿区右下方有一棵神奇的许愿树，当它成熟后会结出大量水晶。	1	3	12
10	您和您的好友都可以给这棵小树浇水，加速它的成长。请您点击右下角黄色框区域的"浇水"图标，完成一次浇水。	0	3	12
11	许愿树浇满8桶水就能进入成熟倒计时，倒计时结束后您就可以收获水晶了。	0	3	12
12	恭喜您许愿树浇水完成!	0	3	12
13	酒馆平时会有将领出现，记得去招募这些实力强大的家伙，让他们带领士兵保卫领地的安全。请您点击"酒馆"图标，招募一个将领。	1	4	15
14	请点击黄色框区域的"招募将领"按钮，切换至招募界面，招募一名将领。	0	4	15
15	恭喜您招募将领完成!	0	4	15
16	只有训练强大的军队，才能保卫领地不受敌人侵犯。	1	5	18
17	请您点击黄色框的区域，建造一所兵营。	0	5	18
18	恭喜您建造兵营完成!	0	5	18
19	请您训练士兵，增加士兵数量。	1	6	20
20	恭喜您训练士兵完成!	0	6	20
21	士兵只能在将领的统率下才能作战。请您点击黄色框区域的"将领"图标，给将领配置士兵。	1	6	22
22	恭喜您将领配置士兵完成!	0	6	22
23	升级城堡。城堡等级决定了其他建筑所能达到的等级。请您点击黄色框区域的"城堡"图标。	1	7	24
24	恭喜您升级城堡完成!	0	7	24
25	相信您已对领地的管理有了初步的了解。其他的内容已经帮您记录到"任务"中了，请您点击"任务"按钮看看吧。	1	8	26
26	恭喜您查看任务完成!	0	8	26
