酒馆等级	刷新间隔（分钟）	武将刷新率（id*prob*num）
1	240	1*100*1
2	238	1*100*1
3	236	1*100*1
4	234	1*100*1
5	232	1*100*1
6	230	1*100*1
7	228	1*100*1
8	226	1*100*1
9	224	1*100*1
10	222	1*100*1
11	220	1*100*1
12	218	1*100*1
13	216	1*100*1
14	214	1*100*1
15	212	1*100*1
16	210	1*100*1
17	208	1*100*1
18	206	1*100*1
19	204	1*100*1
20	202	1*100*1
21	200	1*100*1
22	198	1*100*1
23	196	1*100*1
24	194	1*100*1
25	192	1*100*1
26	190	1*100*1
27	188	1*100*1
28	186	1*100*1
29	184	1*100*1
30	182	1*100*1
31	180	1*100*1
32	178	1*100*1
33	176	1*100*1
34	174	1*100*1
35	172	1*100*1
36	170	1*100*1
37	168	1*100*1
38	166	1*100*1
39	164	1*100*1
40	162	1*100*1
41	160	1*100*1
42	158	1*100*1
43	156	1*100*1
44	154	1*100*1
45	152	1*100*1
46	150	1*100*1
47	148	1*100*1
48	146	1*100*1
49	144	1*100*1
50	142	1*100*1
51	140	1*100*1
52	138	1*100*1
53	136	1*100*1
54	134	1*100*1
55	132	1*100*1
56	130	1*100*1
57	128	1*100*1
58	126	1*100*1
59	124	1*100*1
60	122	1*100*1
