等级	英雄等级上限	修炼时间上限
1	5	10
2	7	10
3	9	10
4	11	10
5	13	10
6	15	10
7	17	10
8	19	10
9	21	10
10	23	10
11	25	10
12	27	10
13	29	10
14	31	10
15	33	10
16	35	10
17	37	10
18	39	10
19	41	10
20	43	10
21	45	10
22	47	10
23	49	10
24	51	10
25	53	10
26	55	10
27	57	10
28	59	10
29	61	10
30	63	10
31	65	10
32	67	10
33	69	10
34	71	10
35	73	10
36	75	10
37	77	10
38	79	10
39	81	10
40	83	10
41	85	10
42	86	10
43	87	10
44	88	10
45	89	10
46	90	10
47	92	10
48	94	10
49	96	10
50	100	10
51	100	10
52	100	10
53	100	10
54	100	10
55	100	10
56	100	10
57	100	10
58	100	10
59	100	10
60	100	10
