类型	等级	单次刷新数量	最高数量	起始x坐标	起始y坐标	结束x坐标	结束y坐标	部队等级*数量	掉落黄金	掉落人口	掉落水晶
1	1	0	1500	0	0	399	399	1*40	148*224	0*0	0*0
1	2	0	1200	0	0	399	399	2*25	280*468	0*0	0*0
1	3	0	900	0	0	399	399	2*45	561*936	0*0	0*0
1	4	0	600	0	0	399	399	2*100	1123*1497	0*0	0*0
1	5	30	300	0	0	399	399	2*120	2808*2995	0*0	0*0
1	6	94	800	0	0	399	399	2*140	3744*3931	0*0	0*0
1	7	62	750	0	0	399	399	2*160	7488*7675	0*0	0*0
1	8	55	560	0	0	399	399	2*180	11232*11419	0*0	0*0
1	9	50	450	0	0	399	399	2*200	14976*15163	0*0	0*0
1	10	40	360	0	0	399	399	2*250	22464*22651	0*0	0*0
2	1	0	1500	0	0	399	399	1*40	0*0	50*84	0*0
2	2	0	1200	0	0	399	399	2*25	0*0	100*117	0*0
2	3	0	900	0	0	399	399	2*45	0*0	134*151	0*0
2	4	25	600	0	0	399	399	2*100	0*0	252*268	0*0
2	5	13	300	0	0	399	399	2*120	0*0	302*319	0*0
2	6	90	800	0	0	399	399	2*140	0*0	420*436	0*0
2	7	80	750	0	0	399	399	2*160	0*0	588*604	0*0
2	8	60	560	0	0	399	399	2*180	0*0	756*772	0*0
2	9	40	450	0	0	399	399	2*200	0*0	1176*1192	0*0
2	10	40	360	0	0	399	399	2*250	0*0	1428*1444	0*0
