玩家等级	产出度
1	0.08
2	0.09
3	0.1
4	0.11
5	0.12
6	0.13
7	0.14
8	0.15
9	0.16
10	0.17
11	0.3
12	0.33
13	0.37
14	0.4
15	0.42
16	0.45
17	0.48
18	0.5
19	0.52
20	0.54
21	0.56
22	0.58
23	0.6
24	0.62
25	0.64
26	0.66
27	0.68
28	0.7
29	0.72
30	0.74
31	0.76
32	0.78
33	0.8
34	0.82
35	0.84
36	0.86
37	0.88
38	0.9
39	0.92
40	0.94
41	0.96
42	1
43	1.04
44	1.08
45	1.12
46	1.16
47	1.2
48	1.24
49	1.28
50	1.32
51	1.36
52	1.42
53	1.48
54	1.54
55	1.6
56	1.66
57	1.74
58	1.82
59	1.9
60	1.98
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	2
