备注	索引	文件名	索引列	起始行	使用类型(0:服务器客户端都加载,1:服务器,2:客户端,3:客户端服务器都不加载,可能程序会临时加载)"	各列类型(0:I,1:S,2:F)	数据库表格	校验和(由部署工具生成)
道具列表	1	item/item_list	0	1	0	0*1*1*0*1*0*0*0*0*0*0*1*0*0*0*0*0*0*0	excel_item_list	
文本文件	5	etc/text	0	1	1	0*1	excel_text	
商店道具	6	etc/store_items	0	1	0	0*0*0*0	excel_store_item	
金钱兑换率	7	etc/store_conversion_rate	0	1	0	0*0	excel_store_conversion_rate	
建筑列表	8	building/building_list	0	1	0	0*1*0*0*0*0*0*0*0*0*0*0	excel_building_list	
建筑等级限制列表	9	building/building_level_limit	0	1	0	0*0	excel_building_level_limit	
建筑数量限制列表	10	building/building_num_limit	0	1	0	0*0*0*0	excel_building_num_limit	
兵营生产配置	11	etc/barrack_production	0	1	0	0*0	excel_barrack_production	
民居生产配置	12	etc/house_production	0	1	0	0*0*0*0	excel_house_production	
金矿生产配置	13	etc/goldore_production	0	1	0	0*0*0*0*0*0*0*0*0*0*2*0	excel_goldore_production	
加速花费表	14	etc/accelerate_cost	0	1	0	0*0*0	excel_accelerate_cost	
士兵表	15	etc/soldier	0	1	0	0*1*0*0*0*0*0	excel_soldier	
科技表	16	etc/technology	0	1	0	0*0*0*2	excel_technology	
联盟建筑表	17	alliance/alliance_building_list	0	1	1	0*1*0*0*0	excel_alliance_building_list	
联盟议会配置	18	alliance/alliance_congress	0	1	0	0*0*0*0*0*2*0	excel_alliance_congress	
联盟发展度兑换	19	alliance/alliance_contribute_rate	0	1	0	0	excel_alliance_contribute_rate	
联盟创建条件	20	alliance/alliance_create_cost	0	1	0	0	excel_alliance_create_cost	
联盟职权表	21	alliance/alliance_position_right	0	1	1	0*1*0*0*0*0*0*0*0*0*0*0*0	excel_alliance_position_right	
联盟发展度变更表	22	alliance/alliance_development	0	1	1	0*1*0	excel_alliance_development	
vip特权表	23	etc/vip_right	0	1	0	0*0*0*0*0*0*0*0*0*0*2*0	excel_vip_right	
角色模板表	24	etc/character_template	0	1	1	0*0*0*0*0	excel_character_template	
地理信息表	25	etc/terrain_info	0	0	3	0*0*0*0*0	excel_terrain_info	
角色等级经验表	26	etc/char_level_exp	0	1	0	0*0	excel_char_level_exp	
许愿树	27	etc/christmas_tree	0	1	1	0*0*0*0*1*1*0	excel_christmas_tree	
将领等级经验表	28	etc/hero_level_exp	0	1	0	0*0*0*0	excel_hero_level_exp	
将领训练馆	29	etc/training_hall	0	1	0	0*0*0	excel_training_hall	
抽奖概率表	30	lottery/lottery_probability	0	1	1	0*0		
抽奖内容表	31	lottery/lottery_content	0	1	1	0*0*0*0		
抽奖配置表	32	lottery/lottery_cfg	0	1	0	0*0*0*0*0*0	excel_lottery_cfg	
大使馆配置表	33	building/embassy_cfg	0	1	1	0*0*0*0	excel_embassy_cfg	
联盟抽奖内容表	34	lottery/lottery_content_alliance	0	1	1	0*0*0*0		
加速花费打折表	35	etc/accelerate_cost_discount	0	1	0	0*2	excel_accelerate_cost_discount	
改名花费表	36	etc/change_name	0	1	0	0*0*0	excel_change_name	
玩家出生位置表	37	etc/player_birthplace	0	1	1	0*0*0*0*0		
充值配置表	38	etc/recharge_diamond	0	1	0	0*0*0	excel_recharge_diamond	
角色非法名字表	39	etc/badname	0	0	0	1		
版本配置	40	etc/version	0	1	2	1		
时间事件	41	time_event/time_event	0	1	1	0*1*0*0	excel_time_event	
世界名城表	42	etc/world_famous_city	0	1	1	0*0*0*0*0*0		
账号非法字符过滤表	43	etc/badname_account	0	0	1	1		
武将品质	101	etc/hero_class	0	1	1	0*0*0*0*0*2	excel_hero_class	
武将成长率换算	102	etc/hero_grow	0	1	0	2*2	excel_hero_grow	
酒馆刷新	103	etc/tavern_refresh	0	1	1	0*0*1	excel_tavern_refresh	
战斗（讨伐）兵力配置	104	etc/combat_raid	0	1	0	0*1*1*1*1*1*0*0	excel_combat_raid	
武将名字表	105	etc/hero_name	0	1	1	1*1*1*1*1*1*1	excel_hero_name	
道具合成表	106	item/item_compos	0	1	1	0*1	excel_item_compos	
道具分解表	107	item/item_discompos	0	1	1	0*1	excel_item_discompos	
