关卡序号	部队组合（army1*army2*army3*army4*army5）	部队等级和数量（level*num）	奖励经验	奖励金币	掉落列表和掉率（id*prob）	掉落数量 	领主经验
1	5*3*3*5*1	3*30	6	0			2
2	3*5*1*2*3	3*40	10	0			3
3	5*5*3*3*4	3*50	14	0			4
4	3*3*3*2*1	3*60	18	0			5
5	3*5*3*3*4	3*80	22	0			6
6	1*1*3*3*4	3*100	26	0			7
7	1*2*3*5*3	3*120	30	0			8
8	2*1*5*5*3	3*140	34	0			9
9	2*2*5*3*4	3*160	38	0			10
10	2*1*3*5*1	3*200	42	0	1011*25*1*1012*25*1*1013*25*1*1014*25*1	1	11
11	5*3*3*5*2	3*220	48	0			12
12	3*5*1*2*4	3*240	54	0			13
13	5*5*3*3*4	3*260	60	0			14
14	3*3*3*2*2	3*280	66	0			15
15	3*5*3*3*4	3*300	72	0			16
16	1*1*3*3*4	3*320	78	0			17
17	1*2*3*5*3	3*340	84	0			18
18	2*1*5*5*5	3*360	90	0			19
19	2*2*5*3*4	3*380	96	0			20
20	5*5*5*5*5	3*420	102	0	2022*100*3	1	21
21	5*3*4*4*3	3*440	110	0			22
22	3*3*4*2*3	3*460	118	0			23
23	3*5*2*2*4	3*480	126	0			24
24	3*5*4*2*5	3*500	134	0			25
25	5*5*4*4*3	3*520	142	0			26
26	3*5*2*4*4	3*540	150	0			27
27	5*5*2*4*4	3*560	158	0			28
28	5*3*4*2*2	3*580	166	0			29
29	3*5*4*4*1	3*600	174	0			30
30	2*2*2*2*2	3*650	182	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	31
31	1*3*4*5*3	4*350	192	0			32
32	1*3*5*4*3	4*360	202	0			33
33	3*3*4*5*5	4*370	212	0			34
34	3*1*4*4*4	4*380	222	0			35
35	1*1*4*5*1	4*390	232	0			36
36	1*3*4*4*5	4*400	242	0			37
37	3*3*4*5*3	4*410	252	0			38
38	3*3*4*4*5	4*420	262	0			39
39	1*1*4*4*4	4*430	272	0			40
40	4*4*4*4*4	4*450	282	0	2022*100*8	1	41
41	4*5*1*2*2	4*460	296	0			42
42	4*4*2*1*2	4*470	310	0			43
43	5*4*1*2*2	4*480	324	0			44
44	5*5*2*1*2	4*490	338	0			45
45	4*5*2*2*2	4*500	352	0			46
46	4*5*1*1*1	4*510	366	0			47
47	4*4*1*2*1	4*520	380	0			48
48	5*5*2*1*1	4*530	394	0			49
49	4*5*2*2*2	4*540	408	0			50
50	5*5*5*5*5	4*580	422	0	1021*25*2*1022*25*2*1023*25*2*1024*25*2	1	51
51	3*4*4*5*5	4*600	438	0			52
52	1*4*4*4*4	4*620	454	0			53
53	1*4*3*3*3	4*640	470	0			54
54	2*5*1*5*5	4*680	486	0			55
55	2*2*4*2*2	4*720	502	0			56
56	2*3*1*5*4	4*760	518	0			57
57	5*4*3*2*1	4*780	534	0			58
58	4*1*1*4*1	4*800	550	0			59
59	4*3*4*3*1	4*820	566	0			60
60	2*4*2*4*2	4*850	582	0	2024*100*3	1	61
61	1*2*4*2*1	5*1300	600	0			62
62	1*4*3*5*2	5*1320	618	0			63
63	3*5*4*2*2	5*1340	636	0			64
64	2*5*4*4*4	5*1360	654	0			65
65	1*4*3*4*1	5*1380	672	0			66
66	4*4*5*1*3	5*1400	690	0			67
67	1*2*2*4*1	5*1420	708	0			68
68	2*2*5*2*1	5*1450	726	0			69
69	5*5*1*4*4	5*1480	744	0			70
70	1*5*5*5*1	5*1550	762	0	1031*25*1*1032*25*1*1033*25*1*1034*25*1	1	71
71	3*5*3*4*4	6*1000	782	0			72
72	1*3*3*4*4	6*1030	802	0			73
73	5*1*3*4*1	6*1060	822	0			74
74	1*1*2*4*5	6*1100	842	0			75
75	2*4*1*1*1	6*1150	862	0			76
76	2*4*2*1*2	6*1200	882	0			77
77	1*5*1*1*4	6*1250	902	0			78
78	2*1*4*5*2	6*1300	922	0			79
79	1*1*3*4*3	6*1350	942	0			80
80	2*3*4*3*2	6*1500	962	0	2024*100*5	1	81
81	4*4*4*5*1	6*1550	984	0			82
82	3*3*1*5*4	6*1600	1006	0			83
83	2*2*4*4*4	6*1650	1028	0			84
84	5*1*4*1*3	6*1700	1050	0			85
85	4*1*5*3*2	6*1780	1072	0			86
86	2*1*5*1*1	6*1850	1094	0			87
87	5*3*3*1*2	6*1950	1116	0			88
88	1*2*4*1*2	6*2050	1138	0			89
89	1*5*4*5*1	6*2150	1160	0			90
90	3*2*1*2*3	6*2300	1182	0	1031*25*2*1032*25*2*1033*25*2*1034*25*2	1	91
91	2*5*5*5*5	6*2400	1206	0			92
92	2*5*1*2*4	6*2500	1230	0			93
93	2*1*3*4*5	6*2600	1254	0			94
94	3*1*4*4*5	6*2700	1278	0			95
95	1*4*1*2*3	6*2850	1302	0			96
96	5*5*5*1*3	6*3000	1326	0			97
97	5*2*2*4*1	6*3200	1350	0			98
98	4*5*5*3*2	6*3400	1374	0			99
99	3*4*3*3*4	6*3600	1398	0			100
100	1*2*3*4*5	6*4000	1422	0	2024*100*8	1	101
