关卡序号	部队组合（army1*army2*army3*army4*army5）	部队等级和数量（level*num）	奖励经验	奖励金币	掉落列表和掉率（id*prob）	掉落数量 	领主经验
1	5*3*3*5*1	1*5	6	0			2
2	3*5*1*2*3	1*7	10	0			3
3	5*5*3*3*4	1*9	14	0			4
4	3*3*3*2*1	1*13	18	0			5
5	3*5*3*3*4	1*18	22	0			6
6	1*1*3*3*4	1*24	26	0			7
7	1*2*3*5*3	1*31	30	0			8
8	2*1*5*5*3	1*40	34	0			9
9	2*2*5*3*4	1*50	38	0			10
10	2*1*3*5*1	1*70	42	0	1001*25*1*1002*25*1*1003*25*1*1004*25*1	1	11
11	5*3*3*5*2	2*30	48	0			12
12	3*5*1*2*4	2*45	54	0			13
13	5*5*3*3*4	2*60	60	0			14
14	3*3*3*2*2	2*75	66	0			15
15	3*5*3*3*4	2*90	72	0			16
16	1*1*3*3*4	2*110	78	0			17
17	1*2*3*5*3	2*130	84	0			18
18	2*1*5*5*5	2*150	90	0			19
19	2*2*5*3*4	2*170	96	0			20
20	5*5*5*5*5	2*199	102	0	2022*100*1	1	21
21	5*3*4*4*3	2*239	110	0			22
22	3*3*4*2*3	2*279	118	0			23
23	3*5*2*2*4	2*319	126	0			24
24	3*5*4*2*5	2*359	134	0			25
25	5*5*4*4*3	2*399	142	0			26
26	3*5*2*4*4	2*439	150	0			27
27	5*5*2*4*4	2*480	158	0			28
28	5*3*4*2*2	2*520	166	0			29
29	3*5*4*4*1	2*560	174	0			30
30	2*2*2*2*2	2*600	182	0	2022*100*2	1	31
31	1*3*4*5*3	3*320	192	0			32
32	1*3*5*4*3	3*340	202	0			33
33	3*3*4*5*5	3*380	212	0			34
34	3*1*4*4*4	3*420	222	0			35
35	1*1*4*5*1	3*460	232	0			36
36	1*3*4*4*5	3*510	242	0			37
37	3*3*4*5*3	3*560	252	0			38
38	3*3*4*4*5	3*610	262	0			39
39	1*1*4*4*4	3*660	272	0			40
40	4*4*4*4*4	3*710	282	0	1011*25*1*1012*25*1*1013*25*1*1014*25*1	1	40
41	4*5*1*2*2	4*360	290	0			40
42	4*4*2*1*2	4*420	300	0			40
43	5*4*1*2*2	4*490	310	0			40
44	5*5*2*1*2	4*550	320	0			40
45	4*5*2*2*2	4*610	330	0			40
46	4*5*1*1*1	4*720	340	0			40
47	4*4*1*2*1	4*780	350	0			40
48	5*5*2*1*1	4*840	360	0			40
49	4*5*2*2*2	4*900	370	0			40
50	5*5*5*5*5	4*960	380	0	2022*100*3	1	40
51	3*4*4*5*5	4*1030	390	0			45
52	1*4*4*4*4	4*1100	400	0			45
53	1*4*3*3*3	4*1170	410	0			45
54	2*5*1*5*5	4*1240	420	0			45
55	2*2*4*2*2	4*1310	430	0			45
56	2*3*1*5*4	4*1390	440	0			45
57	5*4*3*2*1	4*1470	450	0			45
58	4*1*1*4*1	4*1550	460	0			45
59	4*3*4*3*1	4*1630	470	0			45
60	2*4*2*4*2	4*1710	480	0	2022*100*4	1	45
61	1*2*4*2*1	5*1120	490	0			50
62	1*4*3*5*2	5*1220	500	0			50
63	3*5*4*2*2	5*1320	510	0			50
64	2*5*4*4*4	5*1420	520	0			50
65	1*4*3*4*1	5*1520	530	0			50
66	4*4*5*1*3	5*1620	545	0			50
67	1*2*2*4*1	5*1720	560	0			50
68	2*2*5*2*1	5*1820	575	0			50
69	5*5*1*4*4	5*1920	590	0			50
70	1*5*5*5*1	5*2020	605	0	2024*100*1	1	50
71	3*5*3*4*4	6*1350	620	0			60
72	1*3*3*4*4	6*1430	635	0			60
73	5*1*3*4*1	6*1510	650	0			60
74	1*1*2*4*5	6*1600	665	0			60
75	2*4*1*1*1	6*1690	680	0			60
76	2*4*2*1*2	6*1790	695	0			60
77	1*5*1*1*4	6*1890	710	0			60
78	2*1*4*5*2	6*2000	725	0			60
79	1*1*3*4*3	6*2120	740	0			60
80	2*3*4*3*2	6*2230	755	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	60
81	4*4*4*5*1	6*2320	770	0			70
82	3*3*1*5*4	6*2420	785	0			70
83	2*2*4*4*4	6*2520	800	0			70
84	5*1*4*1*3	6*2620	815	0			70
85	4*1*5*3*2	6*2720	830	0			70
86	2*1*5*1*1	6*2820	845	0			70
87	5*3*3*1*2	6*2920	860	0			70
88	1*2*4*1*2	6*3020	875	0			70
89	1*5*4*5*1	6*3120	890	0			70
90	3*2*1*2*3	6*3220	905	0	2024*100*2	1	70
91	2*5*5*5*5	6*3340	920	0			80
92	2*5*1*2*4	6*3460	935	0			80
93	2*1*3*4*5	6*3580	950	0			80
94	3*1*4*4*5	6*3700	965	0			80
95	1*4*1*2*3	6*3820	980	0			80
96	5*5*5*1*3	6*3940	995	0			80
97	5*2*2*4*1	6*4060	1010	0			80
98	4*5*5*3*2	6*4180	1025	0			80
99	3*4*3*3*4	6*4300	1040	0			80
100	1*2*3*4*5	6*4500	1055	0	1031*10*1*1032*10*1*1033*10*1*1034*10*1*2024*60*3	1	80
