关卡序号	部队组合（army1*army2*army3*army4*army5）	部队等级和数量（level*num）	奖励经验	奖励金币	掉落列表和掉率（id*prob）	掉落数量 	领主经验
1	3*4*4*5*5	6*3200	1000	0			110
2	1*4*4*4*4	6*3400	1025	0			115
3	1*4*3*3*3	6*3600	1050	0			120
4	2*5*1*5*5	6*3800	1075	0			125
5	2*2*4*2*2	6*4000	1100	0			130
6	2*3*1*5*4	6*4200	1125	0			135
7	5*4*3*2*1	6*4400	1150	0			140
8	4*1*1*4*1	6*4600	1175	0			145
9	4*3*4*3*1	6*4800	1200	0			150
10	2*4*2*4*2	6*5000	1225	0	2024*100*3	1	155
11	1*2*4*2*1	6*5300	1250	0			160
12	1*4*3*5*2	6*5600	1275	0			165
13	3*5*4*2*2	6*5900	1300	0			170
14	2*5*4*4*4	6*6200	1325	0			175
15	1*4*3*4*1	6*6500	1350	0			180
16	4*4*5*1*3	6*6800	1375	0			185
17	1*2*2*4*1	6*7200	1400	0			190
18	2*2*5*2*1	6*7600	1425	0			195
19	5*5*1*4*4	6*8000	1450	0			200
20	1*5*5*5*1	6*8400	1475	0	2024*100*4	1	205
21	3*5*3*4*4	7*6100	1500	0			210
22	1*3*3*4*4	7*6400	1525	0			215
23	5*1*3*4*1	7*6700	1550	0			220
24	1*1*2*4*5	7*7000	1575	0			225
25	2*4*1*1*1	7*7300	1600	0			230
26	2*4*2*1*2	7*7600	1625	0			235
27	1*5*1*1*4	7*8000	1650	0			240
28	2*1*4*5*2	7*8400	1675	0			245
29	1*1*3*4*3	7*8800	1700	0			250
30	2*3*4*3*2	7*9200	1725	0	2024*100*5	1	255
31	4*4*4*5*1	7*9800	1750	0			260
32	3*3*1*5*4	7*10300	1775	0			265
33	2*2*4*4*4	7*10800	1800	0			270
34	5*1*4*1*3	7*11300	1825	0			275
35	4*1*5*3*2	7*11800	1850	0			280
36	2*1*5*1*1	7*12300	1875	0			285
37	5*3*3*1*2	7*12800	1900	0			290
38	1*2*4*1*2	7*13300	1925	0			295
39	1*5*4*5*1	7*13800	1950	0			300
40	3*2*1*2*3	7*14300	1975	0	2024*100*6	1	305
41	2*5*5*5*5	8*11000	2000	0			310
42	2*5*1*2*4	8*11500	2025	0			315
43	2*1*3*4*5	8*12000	2050	0			320
44	3*1*4*4*5	8*12500	2075	0			325
45	1*4*1*2*3	8*13000	2100	0			330
46	5*5*5*1*3	8*13500	2125	0			335
47	5*2*2*4*1	8*14000	2150	0			340
48	4*5*5*3*2	8*14500	2175	0			345
49	3*4*3*3*4	8*15000	2200	0			350
50	1*2*3*4*5	8*15500	2225	0	2024*100*7	1	355
51	1*2*3*4*5	8*16500	2250	0			360
52	3*5*1*2*3	8*17500	2275	0			365
53	5*5*3*3*4	8*18500	2300	0			370
54	3*3*3*2*1	8*19500	2325	0			375
55	3*5*3*3*4	8*20500	2350	0			380
56	1*1*3*3*4	8*21500	2375	0			385
57	1*2*3*5*3	8*22500	2400	0			390
58	2*1*5*5*3	8*23500	2425	0			395
59	2*2*5*3*4	8*24500	2450	0			400
60	2*1*3*5*1	8*25500	2475	0	2024*100*8	1	405
61	5*3*3*5*2	9*20000	2500	0			410
62	3*5*1*2*4	9*21000	2525	0			415
63	5*5*3*3*4	9*22000	2550	0			420
64	3*3*3*2*2	9*23000	2575	0			425
65	3*5*3*3*4	9*24000	2600	0			430
66	1*1*3*3*4	9*25000	2625	0			435
67	1*2*3*5*3	9*26000	2650	0			440
68	2*1*5*5*5	9*27000	2675	0			445
69	2*2*5*3*4	9*28000	2700	0			450
70	5*5*5*5*5	9*29000	2725	0	2024*100*9	1	455
71	5*3*4*4*3	9*30500	2750	0			460
72	3*3*4*2*3	9*32000	2775	0			465
73	3*5*2*2*4	9*33500	2800	0			470
74	3*5*4*2*5	9*35000	2825	0			475
75	5*5*4*4*3	9*36500	2850	0			480
76	3*5*2*4*4	9*38000	2875	0			485
77	5*5*2*4*4	9*39500	2900	0			490
78	5*3*4*2*2	9*41000	2925	0			495
79	3*5*4*4*1	9*42500	2950	0			500
80	2*2*2*2*2	9*44000	2975	0	2024*100*10	1	505
81	1*3*4*5*3	10*38000	3000	0			510
82	1*3*5*4*3	10*39500	3025	0			515
83	3*3*4*5*5	10*41000	3050	0			520
84	3*1*4*4*4	10*42500	3075	0			525
85	1*1*4*5*1	10*44000	3100	0			530
86	1*3*4*4*5	10*45500	3125	0			535
87	3*3*4*5*3	10*47000	3150	0			540
88	3*3*4*4*5	10*48500	3175	0			545
89	1*1*4*4*4	10*50000	3200	0			550
90	4*4*4*4*4	10*51500	3225	0	2024*100*11	1	555
91	4*5*1*2*2	10*53500	3250	0			560
92	4*4*2*1*2	10*55500	3275	0			565
93	5*4*1*2*2	10*57500	3300	0			570
94	5*5*2*1*2	10*59500	3325	0			575
95	4*5*2*2*2	10*61500	3350	0			580
96	4*5*1*1*1	10*63500	3375	0			585
97	4*4*1*2*1	10*65500	3400	0			590
98	5*5*2*1*1	10*67500	3425	0			595
99	4*5*2*2*2	10*69500	3450	0			600
100	1*5*4*5*2	10*71500	3475	0	2024*100*12	1	605
