难度级别	关卡号	部队组合（army1*army2*army3*army4*army5）	部队等级和数量（level*num）	奖励经验	奖励金币	掉落列表和掉率（id*rate*num）	掉落数量	领主经验
1	1	3*3*4*1*1	1*35	100	0		0	5
1	2	3*2*3*3*1	1*40	110	0		0	10
1	3	1*4*2*4*4	1*45	120	0		0	15
1	4	3*2*1*2*4	1*50	130	0		0	20
1	5	1*5*1*2*2	1*55	140	0		0	25
1	6	4*5*1*3*2	1*60	150	0		0	30
1	7	5*2*4*2*1	1*65	160	0		0	35
1	8	1*2*4*5*1	1*70	170	0		0	40
1	9	2*1*4*4*5	1*80	180	0		0	45
1	10	1*5*3*4*1	1*90	190	0	1001*25*1*1002*25*1*1003*25*1*1004*25*1	1	50
1	11	4*5*1*2*4	2*20	200	0		0	55
1	12	4*2*3*5*2	2*25	210	0		0	60
1	13	3*5*3*3*5	2*30	220	0		0	65
1	14	4*2*1*5*5	2*35	230	0		0	70
1	15	3*5*4*1*4	2*40	240	0		0	75
1	16	3*3*2*2*1	2*45	250	0		0	80
1	17	3*2*4*5*3	2*50	260	0		0	85
1	18	3*3*5*4*4	2*55	270	0		0	90
1	19	2*3*1*4*3	2*65	280	0		0	95
1	20	4*5*4*4*3	2*70	290	0	2040*40*1*1011*15*1*1012*15*1*1013*15*1*1014*15*1	1	100
2	1	5*4*5*1*3	2*60	200	0		0	10
2	2	1*5*2*1*3	2*70	210	0		0	15
2	3	4*2*5*1*3	2*75	220	0		0	20
2	4	1*2*2*5*1	2*80	230	0		0	25
2	5	1*5*1*5*5	2*85	240	0		0	30
2	6	4*2*1*3*2	2*90	250	0		0	35
2	7	5*4*2*5*5	2*95	260	0		0	40
2	8	1*1*2*4*1	2*100	270	0		0	45
2	9	3*3*2*1*3	2*110	280	0		0	50
2	10	1*3*1*3*3	2*115	290	0	1001*25*1*1002*25*1*1003*25*1*1004*25*1	1	55
2	11	5*2*3*4*2	2*120	300	0		0	60
2	12	1*2*3*4*1	2*130	310	0		0	65
2	13	5*3*1*5*2	2*140	320	0		0	70
2	14	3*5*1*4*2	2*150	330	0		0	75
2	15	1*4*3*5*1	2*165	340	0		0	80
2	16	5*2*2*2*1	2*180	350	0		0	85
2	17	4*1*5*1*1	2*195	360	0		0	90
2	18	4*1*2*4*1	2*210	370	0		0	95
2	19	1*1*3*4*1	2*230	380	0		0	100
2	20	3*1*3*3*1	2*250	390	0	2006*30*1*2009*20*1*6*10*1*7*10*1*8*10*1*9*10*1*10*10*1	1	105
3	1	1*1*5*5*2	3*110	300	0		0	15
3	2	5*5*2*3*2	3*120	310	0		0	20
3	3	3*3*2*4*2	3*125	320	0		0	25
3	4	4*5*4*5*5	3*135	330	0		0	30
3	5	2*1*1*5*4	3*145	340	0		0	35
3	6	3*3*3*2*3	4*155	350	0		0	40
3	7	2*4*2*3*3	4*170	360	0		0	45
3	8	4*4*5*4*2	4*185	370	0		0	50
3	9	2*3*4*1*2	4*200	380	0		0	55
3	10	1*2*1*3*5	4*215	390	0	1011*25*1*1012*25*1*1013*25*1*1014*25*1	1	60
3	11	2*4*2*1*1	4*230	400	0		0	65
3	12	5*1*4*1*4	4*250	410	0		0	70
3	13	3*2*4*1*2	4*270	420	0		0	75
3	14	5*5*1*4*2	4*290	430	0		0	80
3	15	3*4*4*5*1	4*310	440	0		0	85
3	16	5*4*5*2*2	4*330	450	0		0	90
3	17	3*3*3*3*5	4*360	450	0		0	95
3	18	3*3*2*5*4	4*390	450	0		0	100
3	19	2*3*2*1*5	4*420	450	0		0	105
3	20	5*1*3*2*3	4*450	450	0	11*8*1*12*8*1*13*8*1*14*8*1*15*8*1*2007*60*2	1	110
4	1	4*4*1*3*5	5*90	400	0		0	20
4	2	3*4*4*4*4	5*105	400	0		0	25
4	3	5*4*4*1*2	5*120	400	0		0	30
4	4	1*1*1*1*1	5*130	400	0		0	35
4	5	2*2*4*2*1	5*145	400	0		0	40
4	6	4*3*5*5*5	5*160	400	0		0	45
4	7	2*4*1*3*3	5*175	400	0		0	50
4	8	2*5*1*1*2	5*180	400	0		0	55
4	9	4*5*3*3*3	5*210	400	0		0	60
4	10	5*4*5*5*1	5*230	400	0	1011*25*1*1012*25*1*1013*25*1*1014*25*1	1	65
4	11	5*1*2*4*5	5*260	450	0		0	70
4	12	1*2*4*1*4	5*290	450	0		0	75
4	13	2*4*2*5*5	5*330	450	0		0	80
4	14	3*1*5*1*2	5*350	450	0		0	85
4	15	1*5*4*5*4	5*410	450	0		0	90
4	16	1*2*3*2*4	5*460	450	0		0	95
4	17	3*5*2*4*1	5*520	450	0		0	100
4	18	5*1*1*4*3	5*560	450	0		0	105
4	19	5*2*2*3*3	5*600	450	0		0	110
4	20	2*3*3*5*1	5*640	450	0	16*6*1*17*6*1*18*6*1*19*6*1*20*6*1*2030*20*1*2024*50*1	1	115
5	1	2*5*1*5*3	5*460	500	0		0	25
5	2	4*2*4*3*5	5*480	500	0		0	30
5	3	5*5*4*5*4	5*500	500	0		0	35
5	4	2*1*5*1*5	5*520	500	0		0	40
5	5	3*2*3*4*2	5*540	500	0		0	45
5	6	1*3*3*4*3	5*560	500	0		0	50
5	7	3*4*1*5*1	5*580	500	0		0	55
5	8	2*4*1*4*3	5*600	500	0		0	60
5	9	3*2*2*5*5	5*640	500	0		0	65
5	10	1*5*5*1*5	5*700	500	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	70
5	11	3*5*3*4*4	5*800	550	0		0	75
5	12	3*5*2*4*4	5*900	550	0		0	80
5	13	4*1*4*2*5	5*1000	550	0		0	85
5	14	5*1*5*2*4	5*1100	550	0		0	90
5	15	3*4*3*1*2	5*1200	550	0		0	95
5	16	4*1*3*5*1	5*1300	550	0		0	100
5	17	5*4*2*4*4	6*860	550	0		0	105
5	18	2*4*2*5*2	6*920	550	0		0	110
5	19	2*4*4*2*1	6*960	550	0		0	115
5	20	4*2*4*1*4	6*1000	550	0	21*4*1*22*4*1*23*4*1*24*4*1*25*4*1*2004*20*1*2080*20*1*2024*40*1	1	120
6	1	5*5*1*1*1	6*400	550	0		0	30
6	2	2*1*1*2*1	6*470	550	0		0	35
6	3	5*1*5*4*3	6*530	550	0		0	40
6	4	4*2*5*3*2	6*600	550	0		0	45
6	5	1*1*2*5*5	6*650	550	0		0	50
6	6	4*4*2*2*5	6*710	550	0		0	55
6	7	1*5*3*1*4	6*760	550	0		0	60
6	8	3*2*3*1*2	6*810	550	0		0	65
6	9	4*1*1*5*4	6*840	550	0		0	70
6	10	2*1*4*1*5	6*850	550	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	75
6	11	2*2*4*5*1	6*880	600	0		0	80
6	12	2*1*3*5*5	6*920	600	0		0	85
6	13	1*5*2*3*3	6*960	600	0		0	90
6	14	3*4*5*2*3	6*1040	600	0		0	95
6	15	5*2*3*2*1	6*1120	600	0		0	100
6	16	2*2*1*1*4	6*1200	600	0		0	105
6	17	1*2*2*5*1	6*1300	600	0		0	110
6	18	2*5*1*5*4	6*1400	600	0		0	115
6	19	3*2*4*3*4	6*1500	600	0		0	120
6	20	1*3*4*1*2	6*1600	600	0	26*4*1*27*4*1*28*4*1*30*4*1*2024*84*2	1	125
7	1	1*5*3*2*5	6*810	600	0		0	35
7	2	5*3*1*3*2	6*860	600	0		0	40
7	3	5*3*4*3*3	6*900	600	0		0	45
7	4	5*2*3*4*3	6*940	600	0		0	50
7	5	3*5*4*4*2	6*970	600	0		0	55
7	6	3*3*4*3*5	6*1000	600	0		0	60
7	7	5*4*5*2*5	6*1050	600	0		0	65
7	8	2*5*1*4*4	6*1100	600	0		0	70
7	9	3*5*3*4*4	6*1150	600	0		0	75
7	10	5*5*4*3*3	6*1200	600	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	80
7	11	2*5*3*4*2	6*1300	650	0		0	85
7	12	5*4*1*5*2	6*1400	650	0		0	90
7	13	5*4*5*1*2	6*1550	650	0		0	95
7	14	5*4*4*1*3	6*1700	650	0		0	100
7	15	3*5*2*1*1	6*1850	650	0		0	105
7	16	2*1*1*4*3	6*2000	650	0		0	110
7	17	4*2*2*4*3	6*2200	650	0		0	115
7	18	5*1*4*1*1	6*2400	650	0		0	120
7	19	5*2*4*2*4	6*2500	650	0		0	125
7	20	5*3*1*1*4	6*2600	650	0	29*12*1*2024*88*3	1	130
8	1	3*2*3*1*4	6*1000	650	0		0	40
8	2	2*3*2*3*4	6*1100	650	0		0	45
8	3	3*2*5*4*5	6*1200	650	0		0	50
8	4	5*1*3*3*1	6*1300	650	0		0	55
8	5	5*2*3*5*1	6*1400	650	0		0	60
8	6	1*1*1*3*2	6*1500	650	0		0	65
8	7	2*4*4*2*3	6*1600	650	0		0	70
8	8	5*4*3*3*4	6*1700	650	0		0	75
8	9	4*2*3*5*3	6*1800	650	0		0	80
8	10	3*3*4*4*5	6*1900	650	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	85
8	11	2*4*4*1*1	6*2050	700	0		0	90
8	12	1*1*4*2*4	6*2200	700	0		0	95
8	13	1*5*1*3*2	6*2350	700	0		0	100
8	14	1*1*4*4*1	6*2600	700	0		0	105
8	15	2*2*2*2*1	6*2750	700	0		0	110
8	16	1*2*5*2*1	6*2900	700	0		0	115
8	17	2*3*1*3*4	6*3100	700	0		0	120
8	18	3*2*3*4*3	6*3300	700	0		0	125
8	19	4*3*4*3*3	6*3500	700	0		0	130
8	20	2*3*2*3*2	6*3700	700	0	1031*15*1*1032*15*1*1033*15*1*1034*15*1*31*5*1*32*5*1*2024*30*4	1	135
9	1	1*1*3*2*4	6*1150	700	0		0	45
9	2	5*4*2*2*2	6*1250	700	0		0	50
9	3	2*5*5*1*1	6*1350	700	0		0	55
9	4	3*2*2*1*1	6*1450	700	0		0	60
9	5	3*4*1*2*4	6*1550	700	0		0	65
9	6	5*5*3*1*1	6*1700	700	0		0	70
9	7	4*3*1*4*2	6*1850	700	0		0	75
9	8	5*2*4*4*2	6*2000	700	0		0	80
9	9	5*4*3*2*5	6*2200	700	0		0	85
9	10	1*1*2*1*1	6*2400	700	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	90
9	11	2*4*5*5*2	6*2600	800	0		0	95
9	12	2*1*3*2*1	6*2850	800	0		0	100
9	13	2*5*3*1*4	6*3100	800	0		0	105
9	14	1*2*3*3*4	6*3400	800	0		0	110
9	15	3*2*2*5*5	6*3700	800	0		0	115
9	16	1*1*3*3*4	6*4000	800	0		0	120
9	17	5*2*4*3*1	6*4500	800	0		0	125
9	18	5*4*4*1*4	6*5000	800	0		0	130
9	19	1*4*4*2*2	6*5500	800	0		0	135
9	20	3*2*3*1*3	6*6000	800	0	1031*15*1*1032*15*1*1033*15*1*1034*15*1*33*5*1*35*5*1*2024*30*4	1	140
10	1	4*2*5*5*3	6*1900	800	0		0	50
10	2	2*2*5*1*4	6*2000	800	0		0	55
10	3	4*3*4*2*5	6*2100	800	0		0	60
10	4	5*3*1*2*3	6*2350	800	0		0	65
10	5	5*4*4*2*4	6*2500	800	0		0	70
10	6	4*5*2*3*4	6*2700	800	0		0	75
10	7	1*5*1*3*3	6*2900	800	0		0	80
10	8	4*3*5*3*2	6*3100	800	0		0	85
10	9	2*4*2*4*4	6*3400	800	0		0	90
10	10	1*5*4*3*4	6*3900	800	0	1021*25*1*1022*25*1*1023*25*1*1024*25*1	1	95
10	11	2*3*3*3*1	6*4500	850	0		0	100
10	12	3*2*2*4*2	6*5000	850	0		0	105
10	13	3*2*5*1*1	6*5500	850	0		0	110
10	14	5*1*2*5*4	6*6000	850	0		0	115
10	15	1*1*4*1*1	6*6500	850	0		0	120
10	16	4*3*2*5*3	6*7000	850	0		0	125
10	17	2*2*4*2*2	6*7500	850	0		0	130
10	18	2*1*2*3*2	6*8000	850	0		0	135
10	19	3*4*4*3*5	6*8500	850	0		0	140
10	20	5*5*5*5*5	6*9000	850	0	1031*15*1*1032*15*1*1033*15*1*1034*15*1*34*8*1*2024*32*4	1	145
11	1	1*4*3*4*1	6*2500	850	0		0	55
11	2	4*4*5*1*3	6*3000	850	0		0	60
11	3	1*2*2*4*1	6*3500	850	0		0	65
11	4	2*2*5*2*1	6*4000	850	0		0	70
11	5	5*5*1*4*4	6*4500	850	0		0	75
11	6	1*5*5*5*1	6*5000	850	0		0	80
11	7	3*5*3*4*4	6*5500	850	0		0	85
11	8	1*3*3*4*4	6*6000	850	0		0	90
11	9	5*1*3*4*1	6*6500	850	0		0	95
11	10	1*1*2*4*5	6*7000	850	0	1031*25*1*1032*25*1*1033*25*1*1034*25*1	1	100
11	11	2*4*1*1*1	6*7500	900	0		0	105
11	12	2*4*2*1*2	6*8000	900	0		0	110
11	13	1*5*1*1*4	6*8500	900	0		0	115
11	14	2*1*4*5*2	6*9000	900	0		0	120
11	15	1*1*3*4*3	6*9500	900	0		0	125
11	16	2*3*4*3*2	6*10000	900	0		0	130
11	17	4*4*4*5*1	6*10500	900	0		0	135
11	18	3*3*1*5*4	6*11000	900	0		0	140
11	19	2*2*4*4*4	6*11500	900	0		0	145
11	20	5*1*4*1*3	6*12000	900	0	1031*15*2*1032*15*2*1033*15*2*1034*15*2*37*4*1*38*4*1*2024*32*5	1	150
12	1	4*1*5*3*2	6*6000	900	0		0	60
12	2	2*1*5*1*1	6*6500	900	0		0	65
12	3	5*3*3*1*2	6*7000	900	0		0	70
12	4	1*2*4*1*2	6*7500	900	0		0	75
12	5	1*5*4*5*1	6*8000	900	0		0	80
12	6	3*2*1*2*3	6*8500	900	0		0	85
12	7	2*5*5*5*5	6*9000	900	0		0	90
12	8	2*5*1*2*4	6*9500	900	0		0	95
12	9	2*1*3*4*5	6*10000	900	0		0	100
12	10	3*1*4*4*5	6*10500	900	0	1031*25*1*1032*25*1*1033*25*1*1034*25*1	1	105
