物品ID	物品名称	说明	物品类	图标文件名	出售价格	攻击	防御	生命	统率	整数值	字串值	时效	抽奖表ID	等级需求	宝石插槽数	装备部位	插槽类型	理论价格
1	Beast Helm	Hero reached Level 1 can equip 	1	toukui1	1000		20		10					1	4	1		0
2	Beast Armor	Hero reached Level 1 can equip 	1	hujia1	1000		20	40						1	4	2		0
3	Beast Boots	Hero reached Level 1 can equip 	1	xuezi1	1000	20		40						1	4	3		0
4	Beast Sword	Hero reached Level 1 can equip 	1	wuqi1	1000	20			10					1	4	4		0
5	Beast Chain	Hero reached Level 1 can equip 	1	shipin1	1000			40	10					1	4	5		0
6	Runic Helm	Hero reached Level 1 can equip 	1	toukui2	5000		50		25					1	4	1		0
7	Runic Armor	Hero reached Level 1 can equip 	1	hujia2	5000		50	60						1	4	2		0
8	Runic Boots	Hero reached Level 1 can equip 	1	xuezi2	5000	50		60						1	4	3		0
9	Bloodguard Edge	Hero reached Level 1 can equip 	1	wuqi2	5000	50			25					1	4	4		0
10	Runic Chain	Hero reached Level 1 can equip 	1	shipin2	5000			60	25					1	4	5		0
11	Thorium Helm	Hero reached Level 5 can equip 	1	toukui3	10000		110		55					5	4	1		0
12	Thorium Armor	Hero reached Level 5 can equip 	1	hujia3	10000		110	130						5	4	2		0
13	Thorium Boots	Hero reached Level 5 can equip 	1	xuezi3	10000	110		130						5	4	3		0
14	Champion Sword	Hero reached Level 5 can equip 	1	wuqi3	10000	110			55					5	4	4		0
15	Thorium Chain	Hero reached Level 5 can equip 	1	shipin3	10000			130	55					5	4	5		0
16	Grimgold Helm	Hero reached Level 10 can equip 	1	toukui4	20000		190		95					10	4	1		0
17	Grimgold Armor	Hero reached Level 10 can equip 	1	hujia4	20000		190	210						10	4	2		0
18	Grimgold Boots	Hero reached Level 10 can equip 	1	xuezi4	20000	190		210						10	4	3		0
19	Warlord's Edge	Hero reached Level 10 can equip 	1	wuqi4	20000	190			95					10	4	4		0
20	Grimgold Chain	Hero reached Level 10 can equip 	1	shipin4	20000			210	95					10	4	5		0
21	Obsidian Helm	Hero reached Level 10 can equip 	1	toukui5	40000		300		150					10	4	1		0
22	Obsidian Armor	Hero reached Level 10 can equip 	1	hujia5	40000		300	320						10	4	2		0
23	Obsidian Boots	Hero reached Level 10 can equip 	1	xuezi5	40000	300		320						10	4	3		0
24	Victor's Edge	Hero reached Level 10 can equip 	1	wuqi5	40000	300			150					10	4	4		0
25	Obsidian Chain	Hero reached Level 10 can equip 	1	shipin5	40000			320	150					10	4	5		0
26	Stormwind Helm	Hero reached Level 15 can equip 	1	toukui6	80000		450		225					15	4	1		0
