类型(1:道具，2:水晶，3:黄金)	数据(道具对应excel_id,水晶黄金对应数量)	概率选项（1~10）选项越大，概率越小(见lottery_probability)	是否高级奖励(需要记录日志,废弃)	不在商店出售则在此处写上理论售价
3	1000	1	0	
3	1500	1	0	
2	1	1	0	
2	2	1	0	
1	1001	1	0	
1	1002	1	0	
1	1003	1	0	
1	1004	1	0	
3	2500	2	0	
3	2000	2	0	
2	5	2	0	
1	1001	2	0	
1	1002	2	0	
1	1003	2	0	
1	1004	2	0	
2	10	3	0	
3	4000	3	0	
3	3000	3	0	
3	3500	3	0	
1	1011	4	0	
1	1012	4	0	
1	1013	4	0	
1	1014	4	0	
2	15	4	0	
1	2015	5	0	
1	2040	5	0	
2	20	5	0	
1	6	5	0	
1	7	5	0	
1	8	5	0	
1	9	5	0	
1	10	5	0	
1	1011	6	0	
1	1012	6	0	
1	1013	6	0	
1	1014	6	0	
1	2010	6	0	
1	2080	7	1	
1	2016	7	1	
1	2009	7	1	
1	2006	7	1	
2	30	7	1	
2	40	7	1	
2	35	7	1	
2	25	7	1	
1	2030	8	1	
2	50	8	1	
2	60	8	1	
2	100	8	1	
1	1021	8	1	
1	1022	8	1	
1	1023	8	1	
1	1024	8	1	
1	2007	8	1	
2	150	9	1		
2	200	9	1		
1	21	9	1	
1	22	9	1	
1	23	9	1	
1	24	9	1	
1	25	9	1	
1	1031	9	1	
1	1032	9	1	
1	1033	9	1	
1	1034	9	1	
1	2004	9	1	
2	300	10	1
2	500	10	1
2	1000	10	1
1	26	10	1	
1	27	10	1	
1	28	10	1	
1	29	10	1	
1	30	10	1	
1	1041	10	1	
1	1042	10	1	
1	1043	10	1	
1	1044	10	1	
