类型(1:道具，2:水晶，3:黄金)	数据(道具对应excel_id,水晶黄金对应数量)	概率选项（1~10）选项越大，概率越小(见lottery_probability)	是否高级奖励(需要记录日志,废弃)	不在商店出售则在此处写上理论售价
3	100	1	0	
3	200	1	0	
3	500	1	0	
3	800	1	0	
3	1000	1	0	
2	1	1	0	
3	200	2	0	
3	500	2	0	
3	900	2	0	
3	1500	2	0	
3	2000	2	0	
2	2	2	0	
2	1	3	0	
2	3	3	0	
2	4	3	0	
3	1000	3	0	
1	1	4	0	
1	2	4	0	
1	3	4	0	
1	4	4	0	
1	5	4	0	
2	5	4	0	
3	300	4	0	
3	600	4	0	
3	1500	4	0	
3	2500	4	0	
3	3000	4	0	
1	1001	5	0	
1	1002	5	0	
1	1003	5	0	
1	1004	5	0	
2	7	5	0	
3	500	5	0	
3	1000	5	0	
3	2500	5	0	
3	3500	5	0	
3	5000	5	0	
1	2015	6	0	
1	2040	6	0	
1	2040	6	0	
1	2040	6	0	
3	10000	6	0	
3	15000	6	0	
3	5000	6	0
2	10	6	0	
2	20	7	0	
1	1011	7	0	
1	1012	7	0	
1	1013	7	0	
1	1014	7	0	
1	2010	7	0	
1	2040	7	0	
1	2080	8	1	
1	2016	8	1	
1	2009	8	1	
1	2006	8	1	
2	50	8	1	
1	2030	9	1	
2	100	9	1	
1	1021	9	1	
1	1022	9	1	
1	1023	9	1	
1	1023	9	1	
1	1024	9	1	
1	2007	9	1	
2	500	10	1	
1	21	10	1	
1	22	10	1	
1	23	10	1	
1	24	10	1	
1	25	10	1	
1	1031	10	1	280
1	1032	10	1	280
1	1033	10	1	280
1	1034	10	1	280
1	2004	10	1	
