发展度	城堡等级上限
1	1
5	2
50	3
160	4
500	5
1100	6
1500	7
2200	8
3100	9
4300	10
5200	11
7000	12
8400	13
9700	14
10800	15
12500	16
16200	17
19000	18
20700	19
25000	20
28000	21
30000	22
34000	23
40500	24
44000	25
47800	26
53600	27
57400	28
62000	29
66800	30
71600	31
76400	32
81200	33
86000	34
90800	35
95600	36
100400	37
105200	38
110000	39
114800	40
119600	41
124400	42
129200	43
134000	44
138800	45
143600	46
148400	47
153200	48
158000	49
162800	50
167600	51
172400	52
177200	53
182000	54
186800	55
191600	56
196400	57
201200	58
206000	59
210800	60
