等级	经验
1	0
2	452
3	548
4	784
5	1046
6	1116
7	1448
8	2204
9	2440
10	2702
11	2772
12	3104
13	3200
14	6596
15	6858
16	6928
17	7260
18	7356
19	7592
20	9314
21	9384
22	9716
23	9812
24	10048
25	10310
26	12440
27	12772
28	12868
29	13104
30	13366
31	13436
32	16028
33	16124
34	16360
35	16622
36	16692
37	17024
38	19980
39	20216
40	20478
41	20548
42	20880
43	20976
44	24272
45	24534
46	24604
47	24936
48	25032
49	25268
50	29190
51	29260
52	29688
53	30186
54	30684
55	31182
56	35540
57	36038
58	36536
59	37034
60	38030
61	39000
62	40100
63	41300
64	42600
65	44000
66	45500
67	47100
68	48800
69	50600
70	52500
71	54500
72	56600
73	58800
74	61100
75	63500
76	66000
77	68600
78	71300
79	74000
80	78000
81	85000
82	92000
83	99000
84	106000
85	113000
86	120000
87	127000
88	134000
89	141000
90	148000
91	155000
92	162000
93	169000
94	176000
95	183000
96	195000
97	210000
98	230000
99	250000
100	270000
