武将成长率	换算百分比
0	0
0.1	0.02
0.2	0.04
0.3	0.06
0.4	0.08
0.5	0.1
0.6	0.12
0.7	0.14
0.8	0.16
0.9	0.18
1	0.2
1.1	0.22
1.2	0.24
1.3	0.26
1.4	0.28
1.5	0.3
1.6	0.32
1.7	0.34
1.8	0.36
1.9	0.38
2	0.4
2.1	0.42
2.2	0.44
2.3	0.46
2.4	0.48
2.5	0.5
2.6	0.52
2.7	0.54
2.8	0.56
2.9	0.58
3	0.6
3.1	0.62
3.2	0.64
3.3	0.66
3.4	0.68
3.5	0.7
3.6	0.72
3.7	0.74
3.8	0.76
3.9	0.78
4	0.8
4.1	0.82
4.2	0.84
4.3	0.86
4.4	0.88
4.5	0.9
4.6	0.92
4.7	0.94
4.8	0.96
4.9	0.98
5	1
5.1	1.006
5.2	1.012
5.3	1.018
5.4	1.024
5.5	1.03
5.6	1.036
5.7	1.042
5.8	1.048
5.9	1.054
6	1.06
6.1	1.066
6.2	1.072
6.3	1.078
6.4	1.084
6.5	1.09
6.6	1.096
6.7	1.102
6.8	1.108
6.9	1.114
7	1.12
7.1	1.126
7.2	1.132
7.3	1.138
7.4	1.144
7.5	1.15
7.6	1.156
7.7	1.162
7.8	1.168
7.9	1.174
8	1.18
8.1	1.186
8.2	1.192
8.3	1.198
8.4	1.204
8.5	1.21
8.6	1.216
8.7	1.222
8.8	1.228
8.9	1.234
9	1.24
9.1	1.246
9.2	1.252
9.3	1.258
9.4	1.264
9.5	1.27
9.6	1.276
9.7	1.282
9.8	1.288
9.9	1.294
10	1.3
10.1	1.308
10.2	1.316
10.3	1.324
10.4	1.332
10.5	1.34
10.6	1.348
10.7	1.356
10.8	1.364
10.9	1.372
11	1.38
11.1	1.388
11.2	1.396
11.3	1.404
11.4	1.412
11.5	1.42
11.6	1.428
11.7	1.436
11.8	1.444
11.9	1.452
12	1.46
12.1	1.468
12.2	1.476
12.3	1.484
12.4	1.492
12.5	1.5
12.6	1.508
12.7	1.516
12.8	1.524
12.9	1.532
13	1.54
13.1	1.548
13.2	1.556
13.3	1.564
13.4	1.572
13.5	1.58
13.6	1.588
13.7	1.596
13.8	1.604
13.9	1.612
14	1.62
14.1	1.628
14.2	1.636
14.3	1.644
14.4	1.652
14.5	1.66
14.6	1.668
14.7	1.676
14.8	1.684
14.9	1.692
15	1.7
15.1	1.71
15.2	1.72
15.3	1.73
15.4	1.74
15.5	1.75
15.6	1.76
15.7	1.77
15.8	1.78
15.9	1.79
16	1.8
16.1	1.81
16.2	1.82
16.3	1.83
16.4	1.84
16.5	1.85
16.6	1.86
16.7	1.87
16.8	1.88
16.9	1.89
17	1.9
17.1	1.91
17.2	1.92
17.3	1.93
17.4	1.94
17.5	1.95
17.6	1.96
17.7	1.97
17.8	1.98
17.9	1.99
18	2
18.1	2.01
18.2	2.02
18.3	2.03
18.4	2.04
18.5	2.05
18.6	2.06
18.7	2.07
18.8	2.08
18.9	2.09
19	2.1
19.1	2.11
19.2	2.12
19.3	2.13
19.4	2.14
19.5	2.15
19.6	2.16
19.7	2.17
19.8	2.18
19.9	2.19
20	2.2
20.1	2.212
20.2	2.224
20.3	2.236
20.4	2.248
20.5	2.26
20.6	2.272
20.7	2.284
20.8	2.296
20.9	2.308
21	2.32
21.1	2.332
21.2	2.344
21.3	2.356
21.4	2.368
21.5	2.38
21.6	2.392
21.7	2.404
21.8	2.416
21.9	2.428
22	2.44
22.1	2.452
22.2	2.464
22.3	2.476
22.4	2.488
22.5	2.5
22.6	2.512
22.7	2.524
22.8	2.536
22.9	2.548
23	2.56
23.1	2.572
23.2	2.584
23.3	2.596
23.4	2.608
23.5	2.62
23.6	2.632
23.7	2.644
23.8	2.656
23.9	2.668
24	2.68
24.1	2.692
24.2	2.704
24.3	2.716
24.4	2.728
24.5	2.74
24.6	2.752
24.7	2.764
24.8	2.776
24.9	2.788
25	2.8
25.1	2.815
25.2	2.83
25.3	2.845
25.4	2.86
25.5	2.875
25.6	2.89
25.7	2.905
25.8	2.92
25.9	2.935
26	2.95
26.1	2.965
26.2	2.98
26.3	2.995
26.4	3.01
26.5	3.025
26.6	3.04
26.7	3.055
26.8	3.07
26.9	3.085
27	3.1
27.1	3.115
27.2	3.13
27.3	3.145
27.4	3.16
27.5	3.175
27.6	3.19
27.7	3.205
27.8	3.22
27.9	3.235
28	3.25
