任务ID	标题	正文	目标描述	奖励描述	是否可重复	开启时段（年）	开启时段（月）	开启时段（日）	开启时段（周天）	开启时段（小时）	每日次数	前提等级	前提VIP	前提发展度	前提人口数量	前提士兵数量	前提武将数量	前提建筑（id*level*num）	前提道具（id*num）	消耗时间	奖励金币	奖励水晶	奖励钻石	奖励经验	奖励道具（id*num）	消耗金币	消耗水晶	消耗钻石	消耗道具（id*num）	金币等级加成	前提PVP进攻次数	前提PVP防御次数	前提PVP进攻胜利次数	前提PVP防御胜利次数	前提每日PVP进攻次数	前提每日PVP防御次数	分类	王者之路	征战天下	专属VIP等级	征战1关	征战2关	征战3关	征战4关	征战5关	征战6关	征战7关	征战8关	征战9关	征战10关	征战11关	征战12关	征战13关	征战14关	征战15关	征战16关	征战17关	征战18关	征战19关	征战20关
1	New Lord	Welcome to Pocketland. With the advent of civilization, the mainland has sprouted with independent kingdoms. Everyone's scrambling in the arms race. My liege, you must lead our land to strength.	Claim Newbie Gift and become the new lord	Newbie Gift	0																				2017*1																																			
2	Cottage Building		Build 1 Cottage	+20 Lord EXP,+80 Gold	0													9*1*1			80			20																																				
3	Mine Harvest		Build 1 Mine	+20 Lord EXP,+80 Gold	0													11*1*1			80			20																																				
4	Hero for Hire		Hire 1 Hero	+20 Lord EXP,+80 Gold	0												1				80			20																																				
5	Barracks Building		Build 1 Barracks	+20 Lord EXP,+80 Gold	0													10*1*1			80			20																																				
7	Beef Up the City		Reach Castle Lv 2	+30 Lord EXP,+120 Gold	0													1*2*1			120			30																																				
10	Call of War		Attack other lord one time	Sm Crystal Bag	0																				2022*1						1																													
100	Try Harder		Reach Lord Lv 2		0							2													2051*1												1																							
101	Try Harder		Reach Lord Lv 3		0							3													2018*1												1																							
102	Try Harder		Reach Lord Lv 4		0							4													2052*1												1																							
103	Try Harder		Reach Lord Lv 5		0							5													2019*1												1																							
104	Try Harder		Reach Lord Lv 6		0							6													2053*1												1																							
105	Try Harder		Reach Lord Lv 7		0							7													2020*1												1																							
106	Try Harder		Reach Lord Lv 8		0							8													2054*1												1																							
107	Try Harder		Reach Lord Lv 9		0							9													2055*1												1																							
108	Try Harder		Reach Lord Lv 10		0							10													2050*1												1																							
109	Try Harder		Reach Lord Lv 11		0							11													2059*1												1																							
110	Try Harder		Reach Lord Lv 12		0							12													2060*1												1																							
111	Try Harder		Reach Lord Lv 13		0							13													2056*1												1																							
112	Try Harder		Reach Lord Lv 14		0							14													2061*1												1																							
113	Try Harder		Reach Lord Lv 15		0							15													2062*1												1																							
114	Try Harder		Reach Lord Lv 16		0							16													2057*1												1																							
115	Try Harder		Reach Lord Lv 17		0							17													2063*1												1																							
116	Try Harder		Reach Lord Lv 18		0							18													2064*1												1																							
117	Try Harder		Reach Lord Lv 19		0							19													2065*1												1																							
118	Try Harder		Reach Lord Lv 20		0							20													2058*1												1																							
119	Try Harder		Reach Lord Lv 21		0							21													2066*1												1																							
120	Try Harder		Reach Lord Lv 22		0							22													2067*1												1																							
121	Try Harder		Reach Lord Lv 23		0							23													2068*1												1																							
122	Try Harder		Reach Lord Lv 24		0							24													2069*1												1																							
123	Try Harder		Reach Lord Lv 25		0							25													2070*1												1																							
124	Try Harder		Reach Lord Lv 26		0							26													2071*1												1																							
125	Try Harder		Reach Lord Lv 27		0							27													2072*1												1																							
126	Try Harder		Reach Lord Lv 28		0							28													2073*1												1																							
127	Try Harder		Reach Lord Lv 29		0							29													2074*1												1																							
128	Try Harder		Reach Lord Lv 30		0							30													2075*1												1																							
200	The More the Merrier		Build 2 Cottage	+200 Lord EXP,+500 Gold	0													9*1*2			500			200													2																							
201	The More the Merrier		Build 3 Cottage	+300 Lord EXP,+800 Gold	0													9*1*3			800			300													2																							
202	The More the Merrier		Build 4 Cottage	+500 Lord EXP,+1000 Gold	0													9*1*4			1000			500													2																							
203	The More the Merrier		Build 5 Cottage	+800 Lord EXP,+2000 Gold	0													9*1*5			2000			800													2																							
204	The More the Merrier		Build 6 Cottage	+1000 Lord EXP,+5000 Gold	0													9*1*6			5000			1000													2																							
205	The More the Merrier		Build 7 Cottage	+1500 Lord EXP,+8000 Gold	0													9*1*7			8000			2000													2																							
206	The More the Merrier		Build 8 Cottage	+2000 Lord EXP,+10000 Gold	0													9*1*8			10000			3000													2																							
300	Military Expansion		Build 2 Barracks	+200 Lord EXP,+500 Gold	0													10*1*2			500			200													3																							
301	Military Expansion		Build 3 Barracks	+300 Lord EXP,+800 Gold	0													10*1*3			800			300													3																							
302	Military Expansion		Build 4 Barracks	+500 Lord EXP,+1000 Gold	0													10*1*4			1000			500													3																							
303	Military Expansion		Build 5 Barracks	+800 Lord EXP,+2000 Gold	0													10*1*5			2000			800													3																							
