士兵类型	名字	等级	生产所需黄金	攻击	防御	生命
1	Cavalry	1	2	1	1	1
1	Cavalry	2	5	5	5	5
1	Cavalry	3	10	10	10	10
1	Cavalry	4	15	20	20	20
1	Cavalry	5	22	35	35	35
1	Cavalry	6	30	55	55	55
1	Cavalry	7	35	80	80	80
1	Cavalry	8	40	110	110	110
1	Cavalry	9	55	145	145	145
1	Cavalry	10	65	185	185	185
2	Lancers	1	2	1	1	1
2	Lancers	2	5	5	5	5
2	Lancers	3	10	10	10	10
2	Lancers	4	15	20	20	20
2	Lancers	5	22	35	35	35
2	Lancers	6	30	55	55	55
2	Lancers	7	35	80	80	80
2	Lancers	8	40	110	110	110
2	Lancers	9	55	145	145	145
2	Lancers	10	65	185	185	185
3	Swordsmen	1	2	1	1	1
3	Swordsmen	2	5	5	5	5
3	Swordsmen	3	10	10	10	10
3	Swordsmen	4	15	20	20	20
3	Swordsmen	5	22	35	35	35
3	Swordsmen	6	30	55	55	55
3	Swordsmen	7	35	80	80	80
3	Swordsmen	8	40	110	110	110
3	Swordsmen	9	55	145	145	145
3	Swordsmen	10	65	185	185	185
4	Archers	1	2	1	1	1
4	Archers	2	5	5	5	5
4	Archers	3	10	10	10	10
4	Archers	4	15	20	20	20
4	Archers	5	22	35	35	35
4	Archers	6	30	55	55	55
4	Archers	7	35	80	80	80
4	Archers	8	40	110	110	110
4	Archers	9	55	145	145	145
4	Archers	10	65	185	185	185
5	Catapults	1	2	1	1	1
5	Catapults	2	5	5	5	5
5	Catapults	3	10	10	10	10
5	Catapults	4	15	20	20	20
5	Catapults	5	22	35	35	35
5	Catapults	6	30	55	55	55
5	Catapults	7	35	80	80	80
5	Catapults	8	40	110	110	110
5	Catapults	9	55	145	145	145
5	Catapults	10	65	185	185	185
