物品excel_id	水晶售价	钻石售价	能否水晶购买
1	5	5	1
2	5	5	1
3	5	5	1
4	5	5	1
5	5	5	1
6	25	25	1
7	25	25	1
8	25	25	1
9	25	25	1
10	25	25	1
11	70	70	1
12	70	70	1
13	70	70	1
14	70	70	1
15	70	70	1
16	180	180	1
17	180	180	1
18	180	180	1
19	180	180	1
20	180	180	1
21	375	375	1
22	375	375	1
23	375	375	1
24	375	375	1
25	375	375	1
26	750	750	1
27	750	750	1
28	750	750	1
29	750	750	1
30	750	750	1
31	1500	1500	1
32	1500	1500	1
33	1500	1500	1
34	1500	1500	1
35	1500	1500	1
36	2700	2700	1
37	2700	2700	1
38	2700	2700	1
39	2700	2700	1
40	2700	2700	1
1001	2	2	1
1002	2	2	1
1003	2	2	1
1004	2	2	1
1011	6	6	1
1012	6	6	1
1013	6	6	1
1014	6	6	1
1021	20	20	1
1022	20	20	1
1023	20	20	1
1024	20	20	1
1031	70	70	1
1032	70	70	1
1033	70	70	1
1034	70	70	1
1041	240	240	1
1042	240	240	1
1043	240	240	1
1044	240	240	1
1051	800	800	1
1052	800	800	1
1053	800	800	1
1054	800	800	1
1061	2400	2400	2
1062	2400	2400	2
1063	2400	2400	2
1064	2400	2400	2
1071	5000	5000	2
1072	5000	5000	2
1073	5000	5000	2
1074	5000	5000	2
2004	50	50	0
2006	10	10	0
2007	20	20	0
2009	20	20	1
2010	50	50	0
2015	10	10	1
2016	50	50	1
2025	10	10	1
2030	100	100	0
2031	180	180	0
2032	500	500	0
2040	10	10	1
2041	18	18	1
2042	25	25	1
2080	20	20	1
2081	10	10	1
